what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285023033665
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285023038595
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023074427
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023193000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023196021
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023204424
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023236464
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023252815
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023285649
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023305203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023308296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023355175
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023417622
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023432868
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023630385
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023648193
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285023657633
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1285023665849
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1285023676722
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023683660
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285023702155
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1285023712112
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1285023712321
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285023712430
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285023716037
